ID,ShortName,Long Name,Reference,XLMOD name,Synonyms,Type,ReactionSites,Monouisotopic Mass,Average Mass,Formula,Specificities
XL:01021,EGS Amidated,ethylene glycol bis(succinimidyl succinate) Amidated,https://www.thermofisher.com/order/catalog/product/21565,Xlink:EGS!Amidated,EGS Amidated,monolink,1,243.074287105,243.21052,C10 H13 O6 N1,"(K,S,T,Y,n-term)"
XL:01022,BSOCOES Hydrolyzed,bis(2-(succinimidooxycarbonyloxy)ethyl)sulfone Hydrolyzed,https://www.thermofisher.com/order/catalog/product/21600,Xlink:BSOCOES!Hydrolyzed,BSOCOES Hydrolyzed,monolink,1,223.9990767,224.18528,C6 H8 O7 S1,"(K,S,T,Y,n-term)"
XL:01023,BSOCOES Amidated,bis(2-(succinimidooxycarbonyloxy)ethyl)sulfone Amidated,https://www.thermofisher.com/order/catalog/product/21600,Xlink:BSOCOES!Amidated,BSOCOES Amidated,monolink,1,223.015061105,223.20052,C6 H9 O6 S1 N1,"(K,S,T,Y,n-term)"
XL:01024,DST Hydrolyzed,disuccinimidyl tartrate Hydrolyzed,https://www.thermofisher.com/order/catalog/product/20589,Xlink:DST!Hydrolyzed,DST Hydrolyzed,monolink,1,132.0058747,132.07528,C4 H4 O5,"(K,S,T,Y,n-term)"
XL:01025,DST Amidated,disuccinimidyl tartrate Amidated,https://www.thermofisher.com/order/catalog/product/20589,Xlink:DST!Amidated,DST Amidated,monolink,1,131.021859105,131.09052,C4 H5 O4 N1,"(K,S,T,Y,n-term)"
XL:01026,DSP Hydrolyzed,dithiobis(succinimidyl propionate) Hydrolyzed,https://www.thermofisher.com/order/catalog/product/22585,Xlink:DSP!Hydrolyzed,DSP Hydrolyzed,monolink,1,191.99148557,192.25528,C6 H8 O3 S2,"(K,S,T,Y,n-term)"
XL:01027,DSP Amidated,dithiobis(succinimidyl propionate) Amidated,https://www.thermofisher.com/order/catalog/product/22585,Xlink:DSP!Amidated,DSP Amidated,monolink,1,191.007469975,191.27052,C6 H9 O2 S2 N1,"(K,S,T,Y,n-term)"
XL:01028,SDA Hydrolyzed,"succinimidyl 4,4'-azipentanoate Hydrolyzed",https://www.thermofisher.com/order/catalog/product/26167B,Xlink:SDA!Hydrolyzed,SDA Hydrolyzed;NHS-Diazirine Hydrolyzed,monolink,1,100.05242954,100.11528,C5 H8 O2,"(K,S,T,Y,n-term)"
XL:01029,SDA Oxidised,"succinimidyl 4,4'-azipentanoate Oxidised",https://www.thermofisher.com/order/catalog/product/26167B,Xlink:SDA!Oxidised,SDA Oxidised;NHS-Diazirine Oxidised,monolink,1,98.03677947,98.09994,C5 H6 O2,"(K,S,T,Y,n-term)"
XL:01030,SDA Alkene,"succinimidyl 4,4'-azipentanoate Alkene",https://www.thermofisher.com/order/catalog/product/26167B,Xlink:SDA!Alkene,SDA Alkene;NHS-Diazirine Alkene,monolink,1,68.02621477,68.07396,C4 H4 O1,"(K,S,T,Y,n-term)"
XL:01031,LC-SDA Hydrolyzed,"succinimidyl 6-(4,4'-azipentanamido)hexanoate Hydrolyzed",https://www.thermofisher.com/order/catalog/product/26168,Xlink:LC-SDA!Hydrolyzed,LC-SDA Hydrolyzed;NHS-LC-Diazirine Hydrolyzed,monolink,1,213.136493555,213.27528,C11 H19 O3 N1,"(K,S,T,Y,n-term)"
XL:01032,LC-SDA Oxidised,"succinimidyl 6-(4,4'-azipentanamido)hexanoate Oxidised",https://www.thermofisher.com/order/catalog/product/26168,Xlink:LC-SDA!Oxidised,LC-SDA Oxidised;NHS-LC-Diazirine Oxidised,monolink,1,211.120843485,211.25994,C11 H17 O3 N1,"(K,S,T,Y,n-term)"
XL:01033,LC-SDA Alkene,"succinimidyl 6-(4,4'-azipentanamido)hexanoate Alkene",https://www.thermofisher.com/order/catalog/product/26168,Xlink:LC-SDA!Alkene,LC-SDA Alkene;NHS-LC-Diazirine Alkene,monolink,1,181.110278785,181.23396,C10 H15 O2 N1,"(K,S,T,Y,n-term)"
XL:01034,Photo-Leucine Hydrolyzed,L-Photo-Leucine Hydrolyzed,https://www.thermofisher.com/order/catalog/product/22610,Xlink:Photo-Leucine!Hydrolyzed,Photo-Leucine Hydrolyzed,monolink,1,1.97926456,1.97282,-C1 -H2 O1,(L)
XL:01035,Photo-Leucine Oxidised,L-Photo-Leucine Oxidised,https://www.thermofisher.com/order/catalog/product/22610,Xlink:Photo-Leucine!Oxidised,Photo-Leucine Oxidised,monolink,1,-0.0363855099999997,-0.0430600000000005,-C1 -H4 O1,(L)
XL:01036,Photo-Leucine Alkene,L-Photo-Leucine Alkene,https://www.thermofisher.com/order/catalog/product/22610,Xlink:Photo-Leucine!Alkene,Photo-Leucine Alkene,monolink,1,-30.04695021,-30.06904,-C2 -H6,(L)
XL:01037,Photo-Methionine Hydrolyzed,L-Photo-Methionine Hydrolyzed,https://www.thermofisher.com/order/catalog/product/22615,Xlink:Photo-Methionine!Hydrolyzed,Photo-Methionine Hydrolyzed,monolink,1,-1.96150744,-2.03718,-S1 C1 H2 O1,(M)
XL:01038,Photo-Methionine Oxidised,L-Photo-Methionine Oxidised,https://www.thermofisher.com/order/catalog/product/22615,Xlink:Photo-Methionine!Oxidised,Photo-Methionine Oxidised,monolink,1,-3.97715607,-4.0549,-S1 C1,(M)
XL:01039,Photo-Methionine Alkene,L-Photo-Methionine Alkene,https://www.thermofisher.com/order/catalog/product/22615,Xlink:Photo-Methionine!Alkene,Photo-Methionine Alkene,monolink,1,-33.98772221,-34.07904,-S1 -H2,(M)
XL:01040,BMOE Hydrolyzed,bismaleimidoethane Hydrolyzed,https://www.thermofisher.com/order/catalog/product/22323,Xlink:BMOE!Hydrolyzed,BMOE Hydrolyzed,monolink,1,238.0589715,238.1968,C10 N2 H10 O5,(C)
XL:01041,BMPS Hydrolyzed,N-β-maleimidopropyl-oxysuccinimide ester Hydrolyzed,https://www.thermofisher.com/order/catalog/product/22298,Xlink:BMPS!Hydrolyzed,BMPS Hydrolyzed,monolink,1,169.037507765,169.13478,C7 N1 H7 O4,"(C,K,S,T,Y,n-term)"
XL:01042,BMPS Amidated,N-β-maleimidopropyl-oxysuccinimide ester Amidated,https://www.thermofisher.com/order/catalog/product/22298,Xlink:BMPS!Amidated,BMPS Amidated,monolink,1,168.05349217,168.15002,C7 N2 H8 O3,(C)
XL:01043,DEST Amidated,diethyl suberthioimidate Amidated,J Proteome Res. (2011) 10 (8) 3604-3616,Xlink:DEST!Amidated,DEST Amidated,monolink,1,154.11061312,154.20956,C8 N2 H14 O1,"(K, n-term)"
XL:01044,DEST Thioester,diethyl suberthioimidate Thioester,J Proteome Res. (2011) 10 (8) 3604-3616,Xlink:DEST!Thioester,DEST Thioester,monolink,1,199.103084925,199.31308,C10 N1 H17 O1 S1,"(K, n-term)"
XL:01045,ADH Hydrolyzed,adipic acid dihydrazide Hydrolyzed,http://www.sigmaaldrich.com/catalog/product/sigma/a0638,Xlink:ADH!Hydrolyzed,ADH Hydrolyzed,monolink,1,156.10111105,156.19,C6 H12 N4 O1,"(D,E,c-term)"
XL:01046,ADH-d8 Hydrolyzed,adipic-d8 acid dihydrazide Hydrolyzed,http://www.sigmaaldrich.com/catalog/product/aldrich/717266,Xlink:ADH-d8!Hydrolyzed,ADH-d8 Hydrolyzed,monolink,1,164.151325002,164.23,C6 H4 2H8 N4 O1,"(D,E,c-term)"
XL:01047,PDH Hydrolyzed,pimelic acid dihydrazide Hydrolyzed,http://www.sigmaaldrich.com/catalog/product/aldrich/s364576,Xlink:PDH!Hydrolyzed,PDH Hydrolyzed,monolink,1,170.11676112,170.21,C7 H14 N4 O1,"(D,E,c-term)"
XL:01048,PDH-d10 Hydrolyzed,pimeilc-d10 acid dihydrazide Hydrolyzed,http://www.sigmaaldrich.com/catalog/product/aldrich/756903,Xlink:PDH-d10!Hydrolyzed,PDH-d10 Hydrolyzed,monolink,1,180.17952856,180.27,C7 H4 2H10 N4 O1,"(D,E,c-term)"
XL:01049,SDH Hydrolyzed,suberic acid dihydrazide Hydrolyzed,http://www.abcr.de/shop/de/catalogsearch/advanced/result/?q=123517,Xlink:SDH!Hydrolyzed,SDH Hydrolyzed,monolink,1,184.13241119,184.24,C8 H16 N4 O1,"(D,E,c-term)"
XL:01050,SDH-d12 Hydrolyzed,suberic-d12 acid dihydrazide Hydrolyzed,http://www.sigmaaldrich.com/catalog/product/aldrich/756938,Xlink:SDH-d12!Hydrolyzed,SDH-d12 Hydrolyzed,monolink,1,196.207732118,196.31,C8 H4 2H12 N4 O1,"(D,E,c-term)"
XL:01051,GDH Hydrolyzed,glutaric acid dihydrazide Hydrolyzed,upon request from Creative Molecules,Xlink:GDH!Hydrolyzed,GDH Hydrolyzed,monolink,1,142.08546098,142.16,C5 H10 N4 O1,"(D,E,c-term)"
XL:01052,GDH-d6 Hydrolyzed,glutaric acid-d6 dihydrazide Hydrolyzed,upon request from Creative Molecules,Xlink:GDH-d6!Hydrolyzed,GDH-d6 Hydrolyzed,monolink,1,148.123121444,148.2,C5 H4 2H6 N4 O1,"(D,E,c-term)"
